area,rooms,price
210,3,399900
160,3,329900
240,3,369000
141,2,232000
300,4,539900
198,4,299900
153,3,314900
142,3,198999
138,3,212000
149,3,242500
194,4,239999
200,3,347000
189,3,329999
447,5,699900
126,3,259900
230,4,449900
132,2,299900
123,3,199900
260,4,499998
303,4,599000
176,3,252900
188,2,255000
160,3,242900
196,4,259900
389,3,573900
110,3,249900
145,3,464500
252,3,469000
220,3,475000
263,3,299900
183,2,349900
100,1,169900
204,4,314900
313,3,579900
181,4,285900
143,3,249900
123,3,229900
213,4,345000
421,4,549000
216,4,287000
166,2,368500
223,3,329900
256,4,314000
120,3,299000
85,2,179900
185,4,299900
120,3,239500
